subg,tot
Supernovae,51
ClassificationCharacterization,48
MagneticallyActiveStars,8
Galactic,22
GravitationalWaves,28
Cosmological,20
InteractingBinaries,28
PulsatingVariables,20
DistanceScales,13
TidalDisruptionEvents,19
LSST,7
Microlensing,15
FastTransients,45
Non-degenerateEruptiveVariables,14
TransitingPlanets,22
Blazars,5
MultiwavelengthCharacterizationCounterparts,39
totalaff,404
totalmemb,158
