subg,tot
ClassificationCharacterization,68
MagneticallyActiveStars,8
Galactic,36
Supernovae,73
Cosmological,26
InteractingBinaries,35
PulsatingVariables,35
MultiwavelengthCharacterizationCounterparts,93
TidalDisruptionEvents,27
LSST,7
Microlensing,18
FastTransients,71
DistanceScales,22
Non-degenerateEruptiveVariables,22
TransitingPlanets,28
Blazars,5
totalaff,574
totalmemb,212
